threadsPerBlock,blocksPerGrid,gpu_ms,cpu_ms,speedup
64,64,1.8,98.0056,55.6
64,128,0.9,101.3178,109.92
64,256,0.58,100.8752,182.66
64,512,0.4,100.25540000000001,275.62
64,1024,0.3,101.862,354.26
128,64,0.9,102.02,111.96
128,128,0.5,100.334,186.52
128,256,0.4,93.4774,262.7
128,512,0.3,104.6886,364.9
128,1024,0.3,89.0938,314.56
256,64,0.5,105.06139999999999,200.14000000000001
256,128,0.3,97.9346,289.72
256,256,0.3,97.7356,344.54
256,512,0.3,104.1354,367.96
256,1024,0.3,93.1246,326.42
512,64,0.3,105.055,317.38
512,128,0.44,106.2248,320.1
512,256,0.3,102.7508,359.86
512,512,0.3,100.9488,355.68
512,1024,0.38,99.81660000000001,305.8
1024,64,0.3,101.9172,353.42
1024,128,0.3,97.7114,338.74
1024,256,0.3,101.4226,349.82
1024,512,0.3,87.57000000000001,295.92
1024,1024,0.3,101.4826,343.18
